1,1
65.102,185.76
65.102,222.9
170.41,204.33
170.41,167.19
203.92,134.7
223.07,134.7
280.51,130.05
280.51,148.62
280.51,167.19
280.51,185.76
280.51,204.33
280.51,222.9
309.24,213.62
366.68,213.62
395.4,222.9
395.4,204.33
395.4,185.76
395.4,167.19
395.4,148.62
395.4,130.05
400.19,106.84
381.04,106.84
361.89,106.84
342.74,106.84
323.6,106.84
294.88,106.84
294.88,88.27
294.88,60.414
294.88,41.844
323.6,51.129
342.74,51.129
361.89,51.129
381.04,51.129
400.19,51.129
419.34,51.129
438.48,51.129
457.63,51.129
448.06,27.916
428.91,27.916
400.19,27.916
381.04,27.916
352.32,27.916
333.17,27.916
419.34,106.84
438.48,106.84
457.63,106.84
256.58,176.48
256.58,195.05
462.42,510.75
385.83,510.75
395.4,482.89
395.4,464.32
395.4,445.75
395.4,427.18
395.4,408.61
395.4,390.04
395.4,371.47
395.4,352.9
395.4,334.33
395.4,315.76
395.4,297.19
395.4,278.62
395.4,260.05
395.4,241.48
366.68,232.19
366.68,250.76
366.68,269.33
366.68,287.9
366.68,306.47
366.68,325.04
344.18,343.61
366.68,362.18
366.68,380.75
366.68,399.32
366.68,417.89
366.68,436.46
366.68,455.03
309.24,455.03
309.24,436.46
309.24,417.89
309.24,399.32
309.24,380.75
309.24,362.18
309.24,343.61
309.24,325.04
309.24,306.47
309.24,287.9
309.24,269.33
309.24,250.76
309.24,232.19
280.51,241.48
280.51,260.05
280.51,278.62
280.51,297.19
280.51,315.76
280.51,334.33
280.51,352.9
280.51,371.47
280.51,390.04
280.51,408.61
280.51,427.18
280.51,445.75
280.51,464.32
280.51,482.89
256.58,482.89
256.58,408.61
256.58,390.04
256.58,315.76
256.58,236.83
457.63,315.76
457.63,334.33
218.28,334.33
218.28,352.9
203.92,352.9
194.35,334.33
175.2,334.33
160.84,334.33
160.84,352.9
160.84,371.47
175.2,371.47
160.84,390.04
160.84,408.61
175.2,408.61
160.84,427.18
160.84,445.75
175.2,445.75
194.35,445.75
218.28,445.75
237.43,445.75
218.28,427.18
203.92,427.18
218.28,408.61
218.28,390.04
218.28,371.47
237.43,371.47
237.43,306.47
237.43,287.9
203.92,287.9
203.92,306.47
165.63,306.47
165.63,269.33
165.63,236.83
184.78,236.83
203.92,236.83
223.07,236.83
237.43,236.83
117.76,320.4
98.611,320.4
74.676,320.4
55.528,320.4
108.18,357.54
127.33,357.54
136.91,390.04
136.91,464.32
328.38,533.96
404.97,533.96
112.97,167.19
112.97,204.33
190.52,487.53
175.2,487.53
159.88,487.53
167.54,506.1
182.86,506.1
198.18,506.1
111.63,83.627
132.5,83.627
153.37,83.627
174.24,83.627
163.9,102.2
143.03,102.2
122.16,102.2
101.29,102.2
89.037,139.34
192.28,124.34
184.78,102.2
218.28,157.91
237.43,157.91
237.43,213.62
218.28,213.62
256.58,213.62
256.58,157.91
419.34,195.05
438.48,195.05
457.63,195.05
457.63,222.9
438.48,222.9
419.34,222.9
486.35,222.9
486.35,204.33
486.35,185.76
486.35,167.19
486.35,148.62
486.35,130.05
486.35,111.48
505.5,111.48
505.5,130.05
505.5,148.62
505.5,167.19
505.5,185.76
505.5,204.33
505.5,222.9
505.5,334.33
505.5,315.76
505.5,297.19
505.5,278.62
486.35,278.62
486.35,260.05
486.35,241.48
505.5,241.48
505.5,260.05
486.35,297.19
486.35,315.76
486.35,334.33
486.35,352.9
505.5,352.9
505.5,371.47
486.35,371.47
486.35,390.04
486.35,408.61
486.35,427.18
486.35,445.75
486.35,464.32
505.5,486.82
505.5,445.75
505.5,427.18
505.5,408.61
505.5,390.04
457.63,371.47
438.48,371.47
419.34,371.47
424.12,408.61
443.27,408.61
438.48,436.46
457.63,436.46
419.34,436.46
424.12,464.32
443.27,464.32
443.27,492.17
424.12,492.17
366.68,506.1
347.53,506.1
328.38,506.1
256.58,260.05
237.43,260.05
218.28,260.05
93.824,343.61
74.676,343.61
55.528,343.61
443.27,529.32
424.12,529.32
300.24,515.94
251.22,515.94
251.22,549
300.24,549
